Movie,Userscore,Reviewer
the-cabin-in-the-woods,10,TitaniumDragon
bernie,9,Bikerjames
the-expendables-2,10,lukechristiansc
a-separation,10,TVJerry
the-artist,9,grandpajoe6191
bernie,9,TheQuietGamer
a-separation,10,cameronmorewood
the-artist,10,heyitsmegrif4
the-artist,10,CitizenCharlie
jeff-who-lives-at-home,9,Shiira
a-separation,9,lasttimeisaw
the-three-stooges,9,Zilcell
the-avengers-2012,10,heyitsmegrif4
dr-seuss-the-lorax,10,MrsBBaggins
a-separation,10,worleyjamers
the-artist,9,TVJerry
american-reunion,9,lukechristiansc
the-amazing-spider-man,9,Zilcell
the-artist,9,JonnyFendi
a-separation,9,EpicLadySponge
the-artist,10,j30
21-jump-street,10,TheQuietGamer
django-unchained,9,EpicLadySponge
21-jump-street,10,Zilcell
21-jump-street,9,heyitsmegrif4
project-x,9,TheQuietGamer
joyful-noise,9,lukechristiansc
the-artist,9,aaronpaul121
the-artist,9,Halfwelshman
project-x,10,lukechristiansc
the-avengers-2012,10,billruller
the-avengers-2012,10,Tranquilbez22
the-muppets,10,kristen58
the-muppets,10,Tranquilbez22
the-descendants,9,heyitsmegrif4
the-muppets,10,gm101
the-muppets,9,Rumblebeelove
the-adventures-of-tintin,10,lukechristiansc
the-grey,9,TheQuietGamer
the-sitter,9,TheQuietGamer
the-artist,9,Iky009
we-bought-a-zoo,9,heyitsmegrif4
the-girl-with-the-dragon-tattoo-2011,9,worleyjamers
the-girl-with-the-dragon-tattoo-2011,9,TheQuietGamer
the-artist,10,worleyjamers
the-descendants,10,Shiira
the-adventures-of-tintin,9,heyitsmegrif4
the-grey,10,Zilcell
the-cabin-in-the-woods,9,Rox22
the-descendants,10,cameronmorewood
the-muppets,10,Futuredirector
the-muppets,10,heyitsmegrif4
the-descendants,9,Halfwelshman
tinker-tailor-soldier-spy,10,Halfwelshman
the-hunger-games,10,heyitsmegrif4
shame,9,lasttimeisaw
war-horse,9,movie2187
21-jump-street,9,lukechristiansc
shame,10,cameronmorewood
mission-impossible---ghost-protocol,9,TVJerry
the-skin-i-live-in,9,Shiira
j-edgar,9,TVJerry
puss-in-boots,10,PurpleUrp
like-crazy,9,nutterjr
footloose,9,cameronmorewood
the-hunger-games,9,kristen58
the-muppets,9,lukechristiansc
the-muppets,9,DavidTejada
puss-in-boots,10,gm101
the-amazing-spider-man,9,TheQuietGamer
higher-ground,10,Shiira
the-guard,9,Halfwelshman
moneyball,9,heyitsmegrif4
the-adventures-of-tintin,9,Rox22
the-amazing-spider-man,10,vini1904
the-descendants,9,worleyjamers
jack-and-jill,9,TheQuietGamer
moneyball,9,j30
senna,10,spielbrick90
the-adventures-of-tintin,10,DavidTejada
the-hunger-games,9,TheQuietGamer
hugo,10,heyitsmegrif4
the-ides-of-march,9,CitizenCharlie
moneyball,10,movie2187
midnight-in-paris,9,heyitsmegrif4
hugo,9,TVJerry
mission-impossible---ghost-protocol,9,Halfwelshman
kung-fu-panda-2,10,Zilcell
midnight-in-paris,9,Shiira
kung-fu-panda-2,9,MovieLonely94
kung-fu-panda-2,9,heyitsmegrif4
mission-impossible---ghost-protocol,9,Zilcell
midnight-in-paris,10,CitizenCharlie
mission-impossible---ghost-protocol,9,movie2187
blue-valentine,9,Shiira
maos-last-dancer,9,TVJerry
the-hunger-games,10,lasttimeisaw
cowboys-aliens,9,TheQuietGamer
kung-fu-panda-2,9,Broken_Shirt
midnight-in-paris,9,Potter17
the-amazing-spider-man,9,jeff_reviews
the-hangover-part-ii,10,InfamousPrince
gnomeo-and-juliet,10,MovieCritic
gnomeo-and-juliet,9,gm101
warrior,9,worleyjamers
warrior,10,Parade
the-green-hornet,9,TVJerry
127-hours,9,brewcrewpride
127-hours,9,grandpajoe6191
jackass-3-d,9,TVJerry
tangled,10,BlueDevilHawk1
the-green-hornet,10,Bullet97
faster-2010,10,Bullet97
tangled,10,Skytreader
127-hours,9,Shiira
the-green-hornet,10,gm101
tangled,10,spirona
tangled,9,JonnyFendi
tangled,10,kristen58
the-green-hornet,10,JonnyTheGreat
tangled,9,JasonGoalie
tangled,9,Supermom4
127-hours,9,TVJerry
blue-valentine,9,grandpajoe6191
tangled,10,DrNegative
morning-glory,9,Shiira
tangled,9,Palino007
kung-fu-panda-2,9,DavidTejada
tangled,9,heyitsmegrif4
tangled,10,Whalnar
tangled,9,Halfwelshman
tangled,9,Tranquilbez22
tangled,10,jordi
blue-valentine,10,cameronmorewood
tangled,10,movielover64
blue-valentine,9,worleyjamers
tangled,10,Simpkj1
morning-glory,10,InfamousPrince
tangled,10,Eilrahc
tangled,10,Kidknowitall
tangled,9,Kalukalay
127-hours,9,Potter17
midnight-in-paris,10,lukechristiansc
tangled,9,Rumblebeelove
127-hours,10,Zilcell
tangled,10,AndrewUltimate
mission-impossible---ghost-protocol,9,MonkiReviews
tangled,9,dinozgorawrr
inside-job,9,j30
tangled,10,Malasawas
tangled,10,Bullet97
tangled,9,Forrestgump1
tangled,10,InfamousPrince
my-soul-to-take,10,Forrestgump1
tangled,10,zamarren
tangled,10,movie2187
tangled,10,Gari
tangled,9,billruller
the-green-hornet,9,Rumblebeelove
moneyball,9,CineAutoctono
tangled,10,gamer1
waiting-for-superman,9,TVJerry
tangled,10,Zahara
my-soul-to-take,9,vini1904
tangled,10,MoeYaz
moneyball,9,EpicLadySponge
tangled,10,Annoymous1
tangled,9,Rox22
paranormal-activity-2,9,Forrestgump1
tangled,10,vini1904
waiting-for-superman,9,j30
tangled,10,reneewallace
tangled,9,Jwv
tangled,10,Parade
tangled,10,Bethzaira
tangled,9,goopyGoop
tangled,10,MovieLonely94
unstoppable,9,TVJerry
tangled,10,Ruler101
127-hours,10,Forrestgump1
unstoppable,9,AndrewUltimate
tangled,9,Bikerjames
tangled,9,TheQuietGamer
the-concert,9,Halfwelshman
tangled,10,NaughtyDog
piranha-3-d,9,Shiira
127-hours,9,PurpleUrp
piranha-3-d,10,Bullet97
tangled,10,SimpsonFans
nanny-mcphee-returns,9,heyitsmegrif4
machete,10,TVJerry
tangled,9,Anim8or
tangled,9,Shiira
shrek-forever-after,9,gm101
the-green-hornet,10,Zilcell
nanny-mcphee-returns,9,TheQuietGamer
despicable-me,9,heyitsmegrif4
the-social-network,10,heyitsmegrif4
tangled,10,NickXoN
cyrus,9,j30
tangled,10,speno93
skyline,10,rayray
the-american,9,Shiira
127-hours,9,j30
tangled,10,AKJBourne
machete,10,Bullet97
127-hours,9,J-Shap
tangled,10,trish30
unstoppable,9,jordi
tangled,9,lionalio
tangled,9,DrMovie
tangled,10,zogondragon
tangled,9,BamaFalstaff
tangled,9,emjohnson54
tangled,10,GleekManiac
the-twilight-saga-eclipse,9,MovieLonely94
tangled,9,lordjrs
machete,9,Rumblebeelove
tangled,9,worleyjamers
meet-the-parents,10,Zilcell
the-social-network,10,j30
tangled,9,GodotIsW8ing4U
tangled,10,TangledFan
the-social-network,10,Bullet97
tangled,10,IMAX500
tangled,9,thetvreviewman
tangled,9,ssyeon5643
despicable-me,9,TheQuietGamer
tangled,10,MrMovieBuff
the-sorcerers-apprentice,10,Bullet97
tangled,9,DavidTejada
tangled,9,Daniel17
vampires-suck,10,Bullet97
eat-pray-love,9,lukechristiansc
the-sorcerers-apprentice,9,gm101
the-social-network,10,AndrewUltimate
toy-story-3,9,grandpajoe6191
how-to-train-your-dragon,10,gm101
how-to-train-your-dragon,10,MovieLonely94
how-to-train-your-dragon,10,TheQuietGamer
despicable-me,10,jordi
how-to-train-your-dragon,10,Halfwelshman
